"","hostile_online","hostile_offline","ders","part_online","part_offline","hostile_online_1","hostile_online_2","hostile_online_3","hostile_online_4","hostile_online_5","hostile_online_6","hostile_online_7","hostile_online_8","hostile_offline_1","hostile_offline_2","hostile_offline_3","hostile_offline_4","hostile_offline_5","hostile_offline_6","hostile_offline_7","hostile_offline_8","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","aggression","sdrt","pid","talk_online_1","talk_online_2","talk_online_3","talk_online_4","talk_online_5","talk_offline_1","talk_offline_2","talk_offline_3","talk_offline_4","talk_offline_5","talk_online","talk_offline","female","age","ID","highered","income","white","online_first"
"197",0.166666666666667,0.0208333333333333,0.402777777777778,0.5,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,0.5,0.333333333333333,0.5,0.166666666666667,0.5,0.333333333333333,0.833333333333333,1,0.333333333333333,0.333333333333333,0.5,0.833333333333333,0.5,0.833333333333333,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.430555555555556,0.535714285714286,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.233333333333333,0,35,"197",1,0.733333333333333,1,"0"
"198",0,0.0625,0.166666666666667,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,1,0.5,1,1,1,0.333333333333333,0.430555555555556,0,0,0,0,0,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0,0.333333333333333,1,55,"198",1,0.533333333333333,1,"0"
"199",0.5625,0.166666666666667,0.361111111111111,1.16666666666667,1.16666666666667,0.5,0,0.166666666666667,1,0.666666666666667,0.833333333333333,1,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0,0.833333333333333,0,1,0,0,0,0.5,0.833333333333333,0,0.5,0.166666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.369047619047619,0.5,1,1,1,1,1,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,1,0.3,0,30,"199",0,0.466666666666667,1,"1"
"200",0.0416666666666667,NA,0.291666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.666666666666667,0,0,0,0.5,0.833333333333333,0,0.333333333333333,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0.319444444444444,0.416666666666667,0.666666666666667,0.666666666666667,0,0,0.5,0.166666666666667,NA,NA,NA,NA,NA,0.266666666666667,NA,1,50,"200",0,0,0,"1"
"201",0.208333333333333,0.166666666666667,0.347222222222222,0.166666666666667,1,0.333333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0.5,0.333333333333333,0,0.5,0,0,0.5,0.333333333333333,0.5,0,0,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,1,0.833333333333333,0.5,0.833333333333333,0.833333333333333,0.5,0.5,0.166666666666667,0.833333333333333,0.541666666666667,0.238095238095238,0,0.166666666666667,0,1,1,1,1,0,0.166666666666667,0.333333333333333,0.333333333333333,0.633333333333333,0.366666666666667,0,45,"201",1,0.466666666666667,0,"0"
"202",0.333333333333333,0.541666666666667,0.388888888888889,0.166666666666667,0.666666666666667,0.833333333333333,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0,1,0.666666666666667,0.166666666666667,0.5,0,0.833333333333333,0.5,0.666666666666667,1,0,0.5,0.166666666666667,0.333333333333333,0,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0,1,1,1,1,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0.5,0.452380952380952,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.333333333333333,0,0.333333333333333,0.5,0.5,0.6,0.333333333333333,0,30,"202",1,0.0666666666666667,0,"0"
"203",0.208333333333333,0.166666666666667,0.277777777777778,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0,0.666666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.833333333333333,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.430555555555556,0.464285714285714,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.266666666666667,0.133333333333333,1,55,"203",1,0.666666666666667,0,"0"
"204",NA,NA,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,1,1,1,1,1,0.625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45,"204",0,0.2,0,"1"
"205",0.0833333333333333,0.229166666666667,0.75,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.642857142857143,0,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0,0.666666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.433333333333333,0.4,1,45,"205",0,0.0666666666666667,0,"0"
"206",0,0.375,0.472222222222222,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.166666666666667,0.5,0.833333333333333,0.5,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.833333333333333,0.666666666666667,0.333333333333333,0.5,0.833333333333333,0.333333333333333,0.833333333333333,0.5,0.666666666666667,0.833333333333333,0.569444444444445,0.416666666666667,0,0.666666666666667,0,0,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0.166666666666667,0.333333333333333,0.2,0.4,1,20,"206",0,NA,0,"1"
