"","hostile_offline","hostile_offline1","hostile_offline2","hostile_offline3","hostile_online","hostile_online1","hostile_online2","hostile_online3","hostile_online4","hostile_online5","talk_offline","talk_offline1","talk_offline2","talk_offline3","talk_offline4","talk_offline5","talk_online","talk_online1","talk_online2","talk_online3","talk_online4","talk_online5","tone_online4","tone_online5","tone_online6","tone_online1","tone_online2","tone_online3","tone_online_neg","tone_online_pos","tone_offline4","tone_offline5","tone_offline6","tone_offline1","tone_offline2","tone_offline3","tone_offline_neg","tone_offline_pos","aggression","ders","sdrt","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","ders1","ders2","ders3","ders4","ders5","ders6","ders7","ders8","ders9","ders10","ders11","ders12","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","female","age","age_year","highered","income","pid","white"
"939",0.0555555555555555,2,1,1,0.0333333333333333,1,1,2,1,1,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.5,0,5,5,5,2,2,2,0.666666666666667,0.166666666666667,6,6,6,3,3,3,0.833333333333333,0.333333333333333,0.111111111111111,0.125,0.0119047619047619,1,2,1,1,1,2,2,4,1,2,2,1,4,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,61,0,0.2,0,1
"940",0.0555555555555555,1,2,1,0,1,1,1,1,1,0.133333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.133333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,6,4,5,4,1,6,0.666666666666667,0.444444444444444,4,7,7,3,1,5,0.833333333333333,0.333333333333333,0.263888888888889,0.263888888888889,0.0952380952380952,1,4,7,1,5,1,1,1,1,7,1,1,4,2,7,1,1,1,4,3,1,1,5,1,1,1,1,1,4,6,1,1,1,1,1,1,1,1,1,0.853658536585366,55,0,0.133333333333333,0.166666666666667,1
"941",0.555555555555555,5,4,4,0.666666666666667,5,5,5,5,5,0.4,0.666666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.3,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,4,4,6,5,6,5,0.611111111111111,0.722222222222222,5,2,3,4,3,5,0.388888888888889,0.5,0.402777777777778,0.458333333333333,0.559523809523809,2,4,4,5,3,3,3,3,2,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,6,4,5,5,3,3,4,5,5,5,5,4,1,0.48780487804878,40,1,0.533333333333333,0,1
"942",0,1,1,1,0.0333333333333333,1,1,2,1,1,0.466666666666667,0.666666666666667,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.266666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,4,4,3,2,2,2,0.444444444444444,0.166666666666667,5,3,5,3,3,3,0.555555555555555,0.333333333333333,0.625,0.277777777777778,0.142857142857143,5,6,4,7,4,2,7,7,5,4,1,5,1,1,3,1,4,2,5,7,1,1,2,4,2,1,1,1,2,1,4,3,1,3,1,1,4,1,1,0.121951219512195,25,1,NA,0.166666666666667,1
"943",0.166666666666667,2,2,2,0.166666666666667,2,2,2,2,2,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,2,2,2,2,2,2,0.166666666666667,0.166666666666667,2,2,2,2,2,2,0.166666666666667,0.166666666666667,0.222222222222222,0.333333333333333,0.452380952380952,2,6,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,6,5,2,2,2,3,5,3,3,3,3,3,5,5,3,3,3,5,3,5,1,0.24390243902439,30,0,NA,0.5,0
"944",0,1,1,1,0,1,1,1,1,1,0.2,0.333333333333333,0.166666666666667,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,7,7,7,1,1,1,1,0,7,7,7,1,1,1,1,0,0.361111111111111,0.513888888888889,0,5,5,6,1,1,1,4,1,2,5,5,2,5,5,7,7,5,5,2,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48780487804878,40,0,0.533333333333333,0,1
"945",0.111111111111111,1,3,1,0,1,1,1,1,1,0.233333333333333,0.333333333333333,0.166666666666667,0,0.333333333333333,0.333333333333333,0.1,0.166666666666667,0,0,0.166666666666667,0.166666666666667,6,6,7,1,1,1,0.888888888888889,0,2,2,2,6,6,6,0.166666666666667,0.833333333333333,0.319444444444444,0.611111111111111,0.154761904761905,1,5,2,4,3,1,6,3,2,4,2,2,5,6,6,4,4,5,6,6,4,2,4,4,1,1,1,1,1,1,7,2,1,1,1,1,1,7,1,1,61,0,0.0666666666666667,0.833333333333333,1
"946",0.166666666666667,1,4,1,0.1,1,1,2,3,1,0.533333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.233333333333333,0.5,0.166666666666667,0,0.5,0,6,5,5,3,2,3,0.722222222222222,0.277777777777778,3,2,3,5,5,4,0.277777777777778,0.611111111111111,0.416666666666667,0.347222222222222,0.404761904761905,4,4,2,2,1,2,5,5,3,6,4,4,3,2,4,4,3,2,3,4,3,3,3,3,3,3,3,5,4,2,4,4,3,3,4,3,5,2,1,0.121951219512195,25,1,0.0666666666666667,0,1
"947",0,1,1,1,0,1,1,1,1,1,0.4,0.666666666666667,0.5,0,0.333333333333333,0.5,0.1,0,0,0.166666666666667,0.166666666666667,0.166666666666667,3,1,1,5,5,3,0.111111111111111,0.555555555555555,4,1,1,5,5,3,0.166666666666667,0.555555555555555,0.361111111111111,0.236111111111111,0.654761904761905,2,1,3,1,6,6,6,6,2,1,2,2,3,2,2,4,3,1,4,4,1,1,2,2,6,5,2,6,6,2,7,4,4,2,7,4,7,7,0,0.731707317073171,50,0,0.2,0.833333333333333,1
"948",0,1,1,1,0.0333333333333333,1,1,1,2,1,0.633333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0.666666666666667,0.4,0.166666666666667,0.166666666666667,0.833333333333333,0,0.833333333333333,7,7,7,1,1,2,1,0.0555555555555555,1,1,1,6,7,7,0,0.944444444444445,0.444444444444444,0.0833333333333333,0.119047619047619,1,1,1,7,5,7,6,7,1,3,2,3,1,4,1,2,1,1,1,3,1,1,1,1,1,1,2,4,2,2,1,1,2,1,1,1,4,1,0,1,61,1,0.266666666666667,1,0
