NO.,hostile_offline,hostile_online,aggression,online_offline
1329,0,0,0.652777778,0
1330,0,0.033333333,0.25,0.033333333
1331,0,0.066666667,0.527777778,0.066666667
1332,0.277777778,0.533333333,0.555555556,0.255555555
1333,0,0,0.138888889,0
1334,0.055555556,0.1,0.555555556,0.04444444400000001
1335,0.444444444,0.366666667,0.569444444,-0.07777777699999999
1336,0.388888889,0.3,0.541666667,-0.08888888900000003
1337,0,0,0.333333333,0
1338,0.055555556,0.033333333,0.583333333,-0.022222223
1339,0.944444444,0.7,0.430555556,-0.2444444440000001
1340,0.166666667,0,0.333333333,-0.166666667
1341,0.166666667,0.166666667,0.222222222,0
1342,0,0,0.361111111,0
1343,0,0,0.180555556,0
1344,0.055555556,0.033333333,0.5,-0.022222223
1345,0,0,0.611111111,0
1346,0,0,0.472222222,0
1347,0,0,0.222222222,0
1348,0,0,0.513888889,0
1349,0.333333333,0.133333333,0.347222222,-0.2
1350,0,0,0.083333333,0
1351,0,0,0.166666667,0
1352,0,0,0.388888889,0
1353,0.777777778,0.666666667,0.638888889,-0.11111111100000004
1354,0,0,0.805555556,0
1355,1,1,0.916666667,0
1356,0.444444444,0.3,0.555555556,-0.144444444
1357,0,0,0.402777778,0
1358,0.444444444,0.4,0.555555556,-0.04444444399999997
1359,0,0,0.486111111,0
1360,0.944444444,0.833333333,0.777777778,-0.11111111100000004
1361,0,0,0.083333333,0
1362,0.111111111,0.233333333,0.416666667,0.122222222
1363,0,0,0.138888889,0
1364,0.111111111,0.766666667,0.833333333,0.6555555559999999
1365,0.111111111,0,0.541666667,-0.111111111
1366,0,0,0.666666667,0
1367,0,0.1,0.152777778,0.1
1368,0,0.066666667,0.333333333,0.066666667
1369,0.111111111,0.1,0.472222222,-0.011111110999999993
1370,0.166666667,0,0.555555556,-0.166666667
1371,0,0,0.166666667,0
1372,0.055555556,0.066666667,0.402777778,0.011111111
1373,0,0,0.305555556,0
1374,0,0,0.666666667,0
1375,0.611111111,0.5,0.777777778,-0.11111111100000004
1376,0.722222222,0.733333333,0.763888889,0.011111111000000062
1377,0.055555556,0,0.319444444,-0.055555556
1378,1,1,0.916666667,0
1379,0,0.066666667,0.472222222,0.066666667
1380,0.333333333,0.066666667,0.222222222,-0.266666666
1381,0,0,0.361111111,0
1382,0,0,0.625,0
1383,0,0,0.569444444,0
1384,0.111111111,0.266666667,0.597222222,0.15555555600000004
1385,0.611111111,0.566666667,0.444444444,-0.04444444400000003
1386,0.166666667,0.333333333,0.583333333,0.16666666600000002
1387,0,0,0.5,0
1388,0.277777778,0.133333333,0.513888889,-0.14444444499999998
1389,0,0.033333333,0.208333333,0.033333333
1390,0.111111111,0.166666667,0.263888889,0.05555555599999999
1391,0,0,0.486111111,0
1392,0.055555556,0.1,0.444444444,0.04444444400000001
1393,0,0,0.5,0
1394,0.166666667,0.433333333,0.416666667,0.266666666
1395,0.111111111,0,0.486111111,-0.111111111
1396,0,0,0.805555556,0
1397,0.055555556,0.133333333,0.319444444,0.07777777699999999
1398,0.5,0.5,0.527777778,0
1399,0,0,0.541666667,0
1400,0,0,0.625,0
1401,0.444444444,0.466666667,0.708333333,0.022222222999999985
1402,0,0,0.611111111,0
1403,0.555555556,0.633333333,0.25,0.0777777770000001
1404,0,0,0.708333333,0
1405,0,0,0.861111111,0
1406,0.166666667,0.266666667,0.388888889,0.10000000000000003
1407,0,0,0.194444444,0
1408,0,0,0.194444444,0
1409,0,0,0.472222222,0
1410,0.166666667,0.1,0.486111111,-0.06666666699999999
1411,0,0.033333333,0.180555556,0.033333333
1412,0.055555556,0,0.361111111,-0.055555556
1413,0.055555556,0.033333333,0.319444444,-0.022222223
1414,0,0,0.763888889,0
1415,0.166666667,0.333333333,0.472222222,0.16666666600000002
1416,0.888888889,0.866666667,0.680555556,-0.022222222000000014
1417,0.444444444,0.533333333,0.569444444,0.08888888899999997
1418,0.166666667,0.1,0.569444444,-0.06666666699999999
1419,0.5,0.366666667,0.444444444,-0.133333333
1420,0.055555556,0.033333333,0.375,-0.022222223
1421,0,0,0.291666667,0
1422,0,0,0.736111111,0
1423,0.055555556,0.066666667,0.319444444,0.011111111
1424,0,0,0.486111111,0
1425,0,0,0.236111111,0
1426,0.388888889,0.366666667,0.569444444,-0.022222222000000014
1427,0.555555556,0.5,0.680555556,-0.05555555599999995
1428,0.833333333,0.7,0.805555556,-0.13333333300000005
1429,0,0,0.180555556,0
1430,0.111111111,0.066666667,0.472222222,-0.044444444
1431,0,0,0.527777778,0
1432,0.055555556,0,0.319444444,-0.055555556
1433,0,0,0.430555556,0
1434,0,0,0.277777778,0
1435,0,0,0.333333333,0
1436,0,0,0.125,0
1437,0.166666667,0.1,0.013888889,-0.06666666699999999
1438,0,0,0.763888889,0
1439,0,0,0.277777778,0
1440,0.166666667,0.166666667,0.166666667,0
1441,0,0,0.166666667,0
1442,0,0,0.208333333,0
1443,0.722222222,0.7,0.625,-0.022222222000000014
1444,0,0,0.166666667,0
1445,0,0,0.277777778,0
1446,0,0,0.236111111,0
1447,0,0,0.319444444,0
1448,0,0,0.416666667,0
1449,0,0,0.652777778,0
1450,0,0.066666667,0.375,0.066666667
1451,0.111111111,0,0.263888889,-0.111111111
1452,0,0,0.472222222,0
1453,0.5,0.333333333,0.763888889,-0.166666667
1454,0,0,0.527777778,0
1455,0.666666667,0.5,0.847222222,-0.166666667
1456,1,1,0.847222222,0
1457,0.388888889,0.4,0.416666667,0.011111111000000007
1458,1,1,0.916666667,0
1459,0,0,0.527777778,0
1460,0.055555556,0,0.694444444,-0.055555556
1461,0,0,0.083333333,0
